GroupId,Id,UserOrGroupId
00G5f000001Kx8vEAC,0115f000000IWLbAAO,00G5f000001Kx9YEAS
00G5f000001Kx8vEAC,0115f000000IWLcAAO,00G5f000001Kx9aEAC
00G5f000001Kx8GEAS,0115f000000IWLdAAO,0055f000000JjAnAAK
00G5f000001Kx8GEAS,0115f000000IWLeAAO,0055f000001pqMmAAI
00G5f000001Kx8GEAS,0115f000000IWLfAAO,0055f000001pqOhAAI
00G5f000001Kx8GEAS,0115f000000IWLgAAO,0055f000001pqM6AAI
00G5f000001Kx8GEAS,0115f000000IWLhAAO,0055f000001pqM5AAI
00G5f000001Kx94EAC,0115f000000IWLqAAO,0055f000001pqQaAAI
00G5f000001Kx8FEAS,0115f000000IWLrAAO,0055f000000JjAnAAK
00G5f000001Kx8FEAS,0115f000000IWLsAAO,0055f000001pqMmAAI
00G5f000001Kx8FEAS,0115f000000IWLtAAO,0055f000001pqM6AAI
00G5f000001Kx8FEAS,0115f000000IWLuAAO,0055f000001pqOhAAI
00G5f000001Kx8FEAS,0115f000000IWLvAAO,0055f000001pqM2AAI
00G5f000001Kx8LEAS,0115f000000IWLyAAO,0055f000000JjAnAAK
00G5f000001Kx9OEAS,0115f000000IWLzAAO,0055f000001pqOhAAI
00G5f000001Kx9OEAS,0115f000000IWM0AAO,0055f000001pqOfAAI
00G5f000001Kx8KEAS,0115f000000IWM1AAO,00G5f000001Kx9KEAS
00G5f000001Kx8KEAS,0115f000000IWM2AAO,00G5f000001Kx9FEAS
00G5f000001Kx8KEAS,0115f000000IWM3AAO,00G5f000001Kx97EAC
00G5f000001Kx8KEAS,0115f000000IWM4AAO,00G5f000001Kx9JEAS
00G5f000001Kx9YEAS,0115f000000IWM5AAO,0055f000001pqLtAAI
00G5f000001Kx9YEAS,0115f000000IWM6AAO,0055f000001pqOiAAI
00G5f000001Kx9YEAS,0115f000000IWM7AAO,0055f000001pqLxAAI
00G5f000001Kx9ZEAS,0115f000000IWM8AAO,0055f000001pqOfAAI
00G5f000001Kx9ZEAS,0115f000000IWM9AAO,0055f000001pqLtAAI
00G5f000001Kx9ZEAS,0115f000000IWMAAA4,0055f000001pqMnAAI
00G5f000001Kx9ZEAS,0115f000000IWMBAA4,0055f000001pqOjAAI
00G5f000001Kx9aEAC,0115f000000IWMCAA4,0055f000001pqM1AAI
00G5f000001Kx9aEAC,0115f000000IWMDAA4,0055f000001pqLzAAI
00G5f000001Kx9aEAC,0115f000000IWMEAA4,0055f000001pqLnAAI
00G5f000001Kx9aEAC,0115f000000IWMFAA4,0055f000001pqMGAAY
00G5f000001Kx9aEAC,0115f000000IWMGAA4,0055f000001pqLtAAI
00G5f000001Kx9aEAC,0115f000000IWMHAA4,0055f000001pqLwAAI
00G5f000001Kx9aEAC,0115f000000IWMIAA4,0055f000001pqLlAAI
00G5f000001Kx9aEAC,0115f000000IWMJAA4,0055f000001pqLpAAI
00G5f000001Kx9aEAC,0115f000000IWMKAA4,0055f000001pqLqAAI
00G5f000001Kx9aEAC,0115f000000IWMLAA4,0055f000001pqLxAAI
00G5f000001Kx9aEAC,0115f000000IWMMAA4,0055f000001pqLuAAI
00G5f000001Kx9aEAC,0115f000000IWMNAA4,0055f000001pqLsAAI
00G5f000001Kx9aEAC,0115f000000IWMOAA4,0055f000001pqLrAAI
00G5f000001Kx9bEAC,0115f000000IWMPAA4,0055f000001pqM2AAI
00G5f000001Kx9bEAC,0115f000000IWMQAA4,0055f000001pqM5AAI
00G5f000001Kx9bEAC,0115f000000IWMRAA4,0055f000001pqM6AAI
00G5f000001Kx9bEAC,0115f000000IWMSAA4,0055f000001pqOhAAI
00G5f000001Kx9bEAC,0115f000000IWMTAA4,0055f000001pqMmAAI
00G5f000001Kx9bEAC,0115f000000IWMUAA4,0055f000001pqOjAAI
00G5f000001Kx9iEAC,0115f000000IWMVAA4,00G5f000001Kx8JEAS
00G5f000001Kx9jEAC,0115f000000IWMWAA4,00G5f000001Kx9PEAS
