Id,Name,Type
00G5f000001Kx8TEAS,,Role
00G5f000001Kx8UEAS,,Role
00G5f000001Kx8VEAS,,Role
00G5f000001Kx8WEAS,,Role
00G5f000001Kx8XEAS,,Role
00G5f000001Kx8YEAS,,Role
00G5f000001Kx8ZEAS,,Role
00G5f000001Kx8aEAC,,Role
00G5f000001Kx8bEAC,,Role
00G5f000001Kx8cEAC,,Role
00G5f000001Kx8dEAC,,Role
00G5f000001Kx8gEAC,,Role
00G5f000001Kx8hEAC,,Role
00G5f000001Kx95EAC,,Role
00G5f000001Kx96EAC,,Role
00G5f000001Kx97EAC,,Role
00G5f000001Kx98EAC,,Role
00G5f000001Kx99EAC,,Role
00G5f000001Kx9AEAS,,Role
00G5f000001Kx9BEAS,,Role
00G5f000001Kx9CEAS,,Role
00G5f000001Kx9DEAS,,Role
00G5f000001Kx9EEAS,,Role
00G5f000001Kx9FEAS,,Role
00G5f000001Kx9GEAS,,Role
00G5f000001Kx9HEAS,,Role
00G5f000001Kx9IEAS,,Role
00G5f000001Kx9JEAS,,Role
00G5f000001Kx9KEAS,,Role
00G5f000001Kx9LEAS,,Role
00G5f000001Kx9MEAS,,Role
00G5f000001Kx9NEAS,,Role
00G5f000001Kx9QEAS,,Role
00G5f000001Kx9REAS,,Role
00G5f000001Kx9SEAS,,Role
00G5f000001Kx9TEAS,,Role
00G5f000001Kx9UEAS,,Role
00G5f000001Kx9VEAS,,Role
00G5f000001Kx9WEAS,,Role
00G5f000001Kx9XEAS,,Role
00G5f000001Kx9cEAC,,Role
00G5f000001Kx9dEAC,,Role
00G5f000001Kx9eEAC,,Role
00G5f000001Kx9fEAC,,Role
00G5f000001Kx9gEAC,,Role
00G5f000001Kx9hEAC,,Role
00G5f000001Kx9lEAC,,Role
00G5f000001Kx9mEAC,,Role
00G5f000001Kx9nEAC,,Role
00G5f000001Kx9oEAC,,Role
00G5f000001Kx9uEAC,,Role
00G5f000001Kx9vEAC,,Role
00G5f000001Kx9wEAC,,Role
00G5f000001Kx9xEAC,,Role
00G5f000001KxAsEAK,,Role
00G5f000001KxAtEAK,,Role
00G5f000001KxAuEAK,,Role
00G5f000001KxAvEAK,,Role
00G5f000001KxAwEAK,,Role
00G5f000001KxAxEAK,,Role
00G5f000001KxB4EAK,,Role
00G5f000001KxB5EAK,,Role
00G5f000001KxBXEA0,,Role
00G5f000001KxBYEA0,,Role
00G5f000001KxBZEA0,,Role
00G5f000001KxBaEAK,,Role
00G5f000001KxBbEAK,,RoleAndSubordinates
00G5f000001KxBcEAK,,RoleAndSubordinates
00G5f000001KxBdEAK,,RoleAndSubordinates
00G5f000001KxBeEAK,,RoleAndSubordinates
00G5f000001KxBfEAK,,RoleAndSubordinates
00G5f000001KxBgEAK,,RoleAndSubordinates
00G5f000001KxBhEAK,,RoleAndSubordinates
00G5f000001KxBiEAK,,RoleAndSubordinates
00G5f000001KxBjEAK,,RoleAndSubordinates
00G5f000001KxBkEAK,,RoleAndSubordinates
00G5f000001KxBlEAK,,RoleAndSubordinates
00G5f000001KxBmEAK,,RoleAndSubordinates
00G5f000001KxBnEAK,,RoleAndSubordinates
00G5f000001KxBoEAK,,RoleAndSubordinates
00G5f000001KxBpEAK,,RoleAndSubordinates
00G5f000001KxBqEAK,,RoleAndSubordinates
00G5f000001KxBsEAK,,RoleAndSubordinates
00G5f000001KxBtEAK,,RoleAndSubordinates
00G5f000001KxBuEAK,,RoleAndSubordinates
00G5f000001KxBvEAK,,RoleAndSubordinates
00G5f000001KxBwEAK,,RoleAndSubordinates
00G5f000001KxBxEAK,,RoleAndSubordinates
00G5f000001KxByEAK,,RoleAndSubordinates
00G5f000001KxBzEAK,,RoleAndSubordinates
00G5f000001KxC0EAK,,RoleAndSubordinates
00G5f000001KxC1EAK,,RoleAndSubordinates
00G5f000001KxC2EAK,,RoleAndSubordinates
00G5f000001KxC3EAK,,RoleAndSubordinates
00G5f000001KxC5EAK,,RoleAndSubordinates
00G5f000001KxC6EAK,,RoleAndSubordinates
00G5f000001KxC7EAK,,RoleAndSubordinates
00G5f000001KxC8EAK,,RoleAndSubordinates
00G5f000001KxC9EAK,,RoleAndSubordinates
00G5f000001KxCAEA0,,RoleAndSubordinates
00G5f000001KxCBEA0,,RoleAndSubordinates
00G5f000001KxCTEA0,,RoleAndSubordinates
00G5f000001KxCUEA0,,RoleAndSubordinates
00G5f000001KxCVEA0,,RoleAndSubordinates
00G5f000001KxCWEA0,,RoleAndSubordinates
00G5f000001KxCXEA0,,RoleAndSubordinates
00G5f000001KxCYEA0,,RoleAndSubordinates
00G5f000001KxCbEAK,,RoleAndSubordinates
00G5f000001KxCcEAK,,RoleAndSubordinates
00G5f000001KxCdEAK,,RoleAndSubordinates
00G5f000001KxCeEAK,,RoleAndSubordinates
00G5f000001KxCfEAK,,RoleAndSubordinates
00G5f000001KxCgEAK,,RoleAndSubordinates
00G5f000001KxChEAK,,RoleAndSubordinates
00G5f000001KxCiEAK,,RoleAndSubordinates
00G5f000001KxCjEAK,,RoleAndSubordinates
00G5f000001KxCnEAK,,RoleAndSubordinates
00G5f000001KxDmEAK,,RoleAndSubordinates
00G5f000001KxDnEAK,,RoleAndSubordinates
00G5f000001KxDoEAK,,RoleAndSubordinates
00G5f000001KxDrEAK,,RoleAndSubordinates
00G5f000001KxDsEAK,,RoleAndSubordinates
00G5f000001KxDtEAK,,RoleAndSubordinates
00G5f000001KxDuEAK,,RoleAndSubordinates
00G5f000001KxDvEAK,,RoleAndSubordinates
00G5f000001KxDwEAK,,RoleAndSubordinates
00G5f000001KxDxEAK,,RoleAndSubordinates
00G5f000001KxDyEAK,,RoleAndSubordinates
00G5f000001KxDzEAK,,RoleAndSubordinates
00G5f000001KxE0EAK,,RoleAndSubordinates
00G5f000001KxE1EAK,,RoleAndSubordinates
00G5f000001KxE2EAK,,RoleAndSubordinates
00G5f000001KxBrEAK,,RoleAndSubordinatesInternal
00G5f000001KxC4EAK,,RoleAndSubordinatesInternal
00G5f000001KxCCEA0,,RoleAndSubordinatesInternal
00G5f000001KxCDEA0,,RoleAndSubordinatesInternal
00G5f000001KxCEEA0,,RoleAndSubordinatesInternal
00G5f000001KxCFEA0,,RoleAndSubordinatesInternal
00G5f000001KxCGEA0,,RoleAndSubordinatesInternal
00G5f000001KxCHEA0,,RoleAndSubordinatesInternal
00G5f000001KxCIEA0,,RoleAndSubordinatesInternal
00G5f000001KxCJEA0,,RoleAndSubordinatesInternal
00G5f000001KxCKEA0,,RoleAndSubordinatesInternal
00G5f000001KxCLEA0,,RoleAndSubordinatesInternal
00G5f000001KxCMEA0,,RoleAndSubordinatesInternal
00G5f000001KxCNEA0,,RoleAndSubordinatesInternal
00G5f000001KxCOEA0,,RoleAndSubordinatesInternal
00G5f000001KxCPEA0,,RoleAndSubordinatesInternal
00G5f000001KxCQEA0,,RoleAndSubordinatesInternal
00G5f000001KxCREA0,,RoleAndSubordinatesInternal
00G5f000001KxCSEA0,,RoleAndSubordinatesInternal
00G5f000001KxCZEA0,,RoleAndSubordinatesInternal
00G5f000001KxCaEAK,,RoleAndSubordinatesInternal
00G5f000001KxCkEAK,,RoleAndSubordinatesInternal
00G5f000001KxClEAK,,RoleAndSubordinatesInternal
00G5f000001KxCmEAK,,RoleAndSubordinatesInternal
00G5f000001KxDpEAK,,RoleAndSubordinatesInternal
00G5f000001KxDqEAK,,RoleAndSubordinatesInternal
00G5f000001Kx8JEAS,,PRMOrganization
00G5f000001Kx8IEAS,,Organization
00G5f000001Kx8FEAS,SMS,Queue
00G5f000001Kx8GEAS,Chat,Queue
00G5f000001Kx8HEAS,Tier1Queue,Queue
00G5f000001Kx8KEAS,GeneralQueue,Queue
00G5f000001Kx8LEAS,Tier2Queue,Queue
00G5f000001Kx8vEAC,"Marketing Qualified Leads",Queue
00G5f000001Kx9OEAS,Tier3Queue,Queue
00G5f000001KxA0EAK,Social_Queue,Queue
00G5f000001Kx8lEAC,"All Internal Users",Regular
00G5f000001Kx94EAC,"Community - CloudBurst Guest Users",Regular
00G5f000001Kx9YEAS,"Marketing - Managers",Regular
00G5f000001Kx9ZEAS,"Product Managers",Regular
00G5f000001Kx9aEAC,"Sales - Reps",Regular
00G5f000001Kx9bEAC,"Service - Agents",Regular
00G5f000001Kx9iEAC,"Partner Users",Regular
00G5f000001Kx9jEAC,"Community - Customer Portal Users",Regular
00G5f000001Kx9kEAC,"Community - Portal Workspace Authors",Regular
00G5f000001Kx9yEAC,English,Regular
00G5f000001KxAyEAK,"Field Service - Default",Regular
00G5f000001KxAzEAK,"Los Angeles",Regular
00G5f000001KxB0EAK,"*San Francisco",Regular
00G5f000001KxB1EAK,"Channel Managers",Regular
00G5f000001KxB2EAK,"SDO Users",Regular
00G5f000001KxB3EAK,"Field Service - Repair Depot",Regular
00G5f000001Kx9PEAS,,AllCustomerPortal
00G5f000001Kx8MEAS,,Territory
00G5f000001Kx8NEAS,,Territory
00G5f000001Kx8OEAS,,Territory
00G5f000001Kx8PEAS,,Territory
00G5f000001Kx8QEAS,,Territory
00G5f000001Kx8REAS,,Territory
00G5f000001Kx8SEAS,,Territory
00G5f000001KxA1EAK,,Territory
00G5f000001KxA2EAK,,Territory
00G5f000001KxA3EAK,,Territory
00G5f000001KxA4EAK,,Territory
00G5f000001KxA5EAK,,Territory
00G5f000001KxA6EAK,,Territory
00G5f000001KxA7EAK,,Territory
00G5f000001KxA8EAK,,Territory
00G5f000001KxA9EAK,,Territory
00G5f000001KxAAEA0,,Territory
00G5f000001KxABEA0,,Territory
00G5f000001KxACEA0,,Territory
00G5f000001KxADEA0,,Territory
00G5f000001KxAEEA0,,Territory
00G5f000001KxAFEA0,,Territory
00G5f000001KxAGEA0,,Territory
00G5f000001KxAHEA0,,Territory
00G5f000001KxAIEA0,,Territory
00G5f000001KxAJEA0,,Territory
00G5f000001KxAKEA0,,Territory
00G5f000001KxALEA0,,Territory
00G5f000001KxAMEA0,,Territory
00G5f000001KxANEA0,,Territory
00G5f000001KxAOEA0,,Territory
00G5f000001KxAPEA0,,Territory
00G5f000001KxAQEA0,,Territory
00G5f000001KxAREA0,,Territory
00G5f000001KxASEA0,,Territory
00G5f000001KxATEA0,,Territory
00G5f000001KxAUEA0,,Territory
00G5f000001KxAVEA0,,Territory
00G5f000001KxAWEA0,,Territory
00G5f000001KxAXEA0,,Territory
00G5f000001KxAYEA0,,Territory
00G5f000001KxAZEA0,,Territory
00G5f000001KxAaEAK,,Territory
00G5f000001KxAbEAK,,Territory
00G5f000001KxAcEAK,,Territory
00G5f000001KxAdEAK,,Territory
